120,120,120,墙,wall,#787878
180,120,120,建筑、大厦,building;edifice,#B47878
6,230,230,天空,sky,#06E6E6
80,50,50,地板,floor;flooring,#503232
4,200,3,树、树木,tree,#04C803
120,120,80,天花板、吊顶,ceiling,#787850
140,140,140,路、道路,road;route,#8C8C8C
204,5,255,床,bed,#CC05FF
230,230,230,玻璃、窗户,windowpane;window,#E6E6E6
4,250,7,草,grass,#04FA07
224,5,255,橱柜、储藏柜,cabinet,#E005FF
235,255,7,人行道,sidewalk;pavement,#EBFF07
150,5,61,人,person;individual;someone;somebody;mortal;soul,#96053D
120,120,70,地球、地面,earth;ground,#787846
8,255,51,门、双开门,door;double door,#08FF33
255,6,82,桌子,table,#FF0652
143,255,140,山、山脉,mountain;mount,#8FFF8C
204,255,4,植物,plant;flora;plant;life,#CCFF04
255,51,7,窗帘、布料,curtain;drape;drapery;mantle;pall,#FF3307
204,70,3,椅子,chair,#CC4603
0,102,200,车、汽车,car;auto;automobile;machine;motorcar,#0066C8
61,230,250,水,water,#3DE6FA
255,6,51,画、照片、图片,painting;picture,#FF0633
11,102,255,沙发,sofa;couch;lounge,#0B66FF
255,7,71,架子,shelf,#FF0747
255,9,224,房子、住宅,house,#FF09E0
9,7,230,海洋,sea,#0907E6
220,220,220,镜子,mirror,#DCDCDC
255,9,92,地毯、毛毯,rug;carpet;carpeting,#FF095C
112,9,255,田野、田地,field,#7009FF
8,255,214,扶手椅、单人沙发,armchair,#08FFD6
7,255,224,座位,seat,#07FFE0
255,184,6,栅栏、围栏,fence;fencing,#FFB806
10,255,71,书桌、办公桌,desk,#0AFF47
255,41,10,岩石、石头,rock;stone,#FF290A
7,255,255,衣柜、壁橱,wardrobe;closet;press,#07FFFF
224,255,8,灯,lamp,#E0FF08
102,8,255,浴缸,bathtub;bathing;tub;bath;tub,#6608FF
255,61,6,栏杆、轨道,railing;rail,#FF3D06
255,194,7,坐垫、垫子,cushion,#FFC207
255,122,8,基础、底座,base;pedestal;stand,#FF7A08
0,255,20,箱子、盒子,box,#00FF14
255,8,41,柱子、罗马柱,column;pillar,#FF0829
